タイムスタンプ,ID,Condition,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）",Learning to operate this smart speaker system would be easy for me.（このスマートスピーカーの操作を学ぶのは簡単だと思います）,I would find it easy to get this system to do what I want it to do.（自分の望むようにシステムを操作するのは簡単だと思います） ,My interaction with this system would be clear and understandable.（このシステムとのやりとりは分かりやすいと思います） ） ,I would find this system to be flexible to interact with.（このシステムは柔軟に操作できると思います） ,It would be easy for me to become skillful at using this system.（このシステムを使いこなせるようになるのは簡単だと思います） ,I would find this system easy to use.（このシステムは使いやすいと思います） ,Using this smart speaker system in my home would enable me to accomplish tasks more quickly.（このスマートスピーカーを使うことで、タスクをより早く完了できると思います） ,Using this system would improve my performance in managing home-related tasks.（このシステムを使うことで、家庭関連の作業の効率が上がると思います） ,Using this smart speaker system in my home would increase my productivity in daily routines.（このスマートスピーカーを使うことで、日常の作業がより生産的になると思います） ,Using this system would enhance my effectiveness in everyday smart home usage.（このシステムを使うことで、スマートホームの操作がより効果的になると思います） ,Using this system would make it easier to do my daily home tasks.（このシステムを使うことで、日常の家庭作業がより簡単になると思います） ,would find this smart speaker system useful in my home life.（このスマートスピーカーは家庭生活において役立つと思います） ,  I am confident in the system.（私はこのシステムに自信を持っています）  ,The system provides security.（このシステムは安全性を提供します） ,The system has integrity.（このシステムには誠実さがあります） ,The system is dependable.（このシステムは信頼できます） ,The system is reliable.（このシステムは安定して動作します） ,I can trust the system.（私はこのシステムを信頼できます） ,I am familiar with the system.（私はこのシステムに慣れ親しんでいます） ,The system is deceptive.（このシステムは人を欺きます） ,The system behaves in an underhanded manner.（このシステムは不正な振る舞いをします） ,"I am suspicious of the system's intent, action, or outputs.（このシステムの意図・動作・出力に疑いを持っています） ",I am wary of the system.（私はこのシステムに警戒心を抱いています） ,The system's actions will have harmful or injurious outcome.（このシステムの行動は有害な結果をもたらす可能性があります） ," How mentally demanding was the task?（このタスクはどれくらい精神的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How physically demanding was the task?（このタスクはどれくらい身体的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How hurried or rushed was the pace of the task?（このタスクのペースはどれくらい急かされるものでしたか？）
1: Strongly Disagree 
21: Strongly Agree","How successful were you in accomplishing what you were asked to do?（求められたことをどれくらいうまく達成できたと思いますか？）
1: Strongly Disagree 
21: Strongly Agree","How hard did you have to work to accomplish your level of performance?（その成果を達成するために、どれくらい努力しましたか？）
1: Strongly Disagree 
21: Strongly Agree","How insecure, discouraged, irritated, stressed, and annoyed were you?（不安・落胆・苛立ち・ストレス・いら立ちはどの程度感じましたか？）
1: Strongly Disagree 
21: Strongly Agree",Free Description (自由記述)
2025/06/26 16:05:33,P8,1,1,2,1,2,2,5,2,5,1,2,,,,,,,1,,,,,,4,,,,,,,,,,,,6,,,,,,shelf lightの認識精度が非常に低い。ストレスであった。
2025/06/26 16:15:04,P8,2,5,1,5,1,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,7,,,,,,空間参照の精度が非常に高い。素晴らしいシステム。
2025/06/26 16:29:44,P8,3,2,1,4,1,2,1,4,4,5,1,,,,,,,4,,,,,,1,,,,,,,,,,,,8,,,,,,推論が制限されているので、指示を正確にする必要があり、面倒だった。
2025/06/26 17:44:31,P9,1,3,4,2,2,5,2,3,4,2,3,,,,,,,3,,,,,,5,,,,,,,,,,,,6,,,,,,対象が1つである場合や一か所に固まっている場合は、視界の中心を使うことで比較的簡単に指定することができるが、範囲が広がると視界におさめるのが困難になり、複雑になるように感じた。
2025/06/26 18:00:51,P9,2,4,2,5,2,5,1,5,1,5,1,,,,,,,5,,,,,,2,,,,,,,,,,,,3,,,,,,空間参照に比べて、発する言葉が少ないためストレスも少なく感じた。ただし、背後にあるライトをポインタで指定する際などは体勢を大きく変えなければならない場合もあり、その点は多少ストレスを生むように感じた。
2025/06/26 18:17:38,P9,3,4,3,5,1,5,4,4,2,3,1,,,,,,,4,,,,,,2,,,,,,,,,,,,3,,,,,,指定のライトを単色で付ける分にはもう一方のポインティングのものと大きな差はないが、複数の色を指定しなければならない場合は色の数だけ実行しなければならないためストレスが増すように感じた。また、「〇色につけて」という指示を出した際に、その色につく場合とつかない場合があり一貫性が少し欠けているように感じられたため、その点からも不必要にストレスが発生してしまう可能性があるように感じた。
2025/06/26 18:39:05,P9,4,4,3,5,2,5,3,4,2,3,3,,,,,,,4,,,,,,3,,,,,,,,,,,,5,,,,,,一度覚えてしまえば、手をほとんど動かさずにライトをつけることができ、またほかの作業をしながらでもできそうであるため、非常に便利に感じた。一方で、ライトが増えたり、その名前が複雑になればなるほど使用感が悪くなるのではないかというようにも感じた。
2025/06/26 19:55:08,P10,2,4,1,4,4,4,1,5,1,3,3,,,,,,,4,,,,,,2,,,,,,,,,,,,8,,,,,,"操作しやすかった点（他の方法と比べて良かった点）
ポインターで指定できたから、顔を固定する必要がなかった。
ポインターで操作するライトを選べたため、視線をある程度ずらしても操作できた"
2025/06/26 20:18:05,p10,3,3,3,3,2,2,2,5,4,5,1,,,,,,,4,,,,,,2,,,,,,,,,,,,6,,,,,,"一個一個ライトを指定しないといけなかった点
いろいろな色があると余計めんどくさかった
指示後の予測が確実だった"
2025/06/26 20:41:44,P10,4,4,5,2,4,4,2,2,5,2,5,,,,,,,4,,,,,,3,,,,,,,,,,,,8,,,,,,番号を覚えるのが大変すぎた。いちいちカウントして指示を出さないといけなかったため時間がものすごくかかった
2025/06/26 21:08:44,P10,1,3,4,2,4,4,4,4,3,2,4,,,,,,,4,,,,,,3,,,,,,,,,,,,10,,,,,,空間の説明が難しかった。ずっと頭を固定していないといけないのがつらかった
2025/06/27 12:00:43,P11,3,3,2,4,2,2,2,4,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,7,,,,,,
2025/06/27 12:31:58,P11,4,2,5,1,2,2,3,1,2,1,5,,,,,,,4,,,,,,3,,,,,,,,,,,,3,,,,,,
2025/06/27 13:09:36,P11,1,4,2,3,1,4,1,4,2,3,1,,,,,,,4,,,,,,4,,,,,,,,,,,,4,,,,,,
2025/06/27 13:29:33,P11,2,5,1,5,2,5,1,5,1,5,2,,,,,,,5,,,,,,1,,,,,,,,,,,,5,,,,,,
2025/06/27 14:26:27,P12,4,3,4,3,2,4,2,2,4,2,4,,,,,,,3,,,,,,2,,,,,,,,,,,,7,,,,,,一分でライトの名前を覚えきれませんでした。LLMは送信した内容を正確に反映してくれたのがよかったです。
2025/06/27 15:18:24,P12,1,2,2,2,4,3,2,3,4,2,2,,,,,,,3,,,,,,4,,,,,,,,,,,,7,,,,,,送信した内容の意図と異なる結果になったのが使いづらい原因でした。同じ言葉を使っても、異なる結果になることがあり困惑しました。
2025/06/27 15:37:28,P12,2,4,1,4,2,4,2,4,2,4,3,,,,,,,4,,,,,,2,,,,,,,,,,,,6,,,,,,他の方法と比べて、点灯したいライトが指定できるので入力に必要な言葉が少なくなり、結果としてタスクを達成するのが楽に感じた。
2025/06/27 15:50:54,P12,3,4,1,4,2,4,2,4,1,5,2,,,,,,,4,,,,,,2,,,,,,,,,,,,6,,,,,,選択式で、かつ左右を指定できる条件と比べて、異なる色のライトは別で入力しなければならないのは面倒だが、結果の予測は容易なのでその点では使いやすかったです。
2025/06/27 16:55:52,P13,1,4,3,3,2,3,2,2,4,3,4,,,,,,,1,,,,,,4,,,,,,,,,,,,7,,,,,,"ライトの数が限られている場合はミスは少なくなると感じた。
言葉の認識能力が少し低いと感じました。"
2025/06/27 17:15:22,P13,2,4,1,5,2,4,2,4,1,5,2,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,"操作がしやすかった。
時間的にも音声認識のものより時間がかからなかった"
2025/06/27 17:32:21,P13,3,4,1,5,1,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,3,,,,,,これまでに行った３つの操作方法の中でも、最も単純な操作で覚えやすかった。
2025/06/27 17:54:02,P13,4,2,4,4,1,3,4,1,5,3,5,,,,,,,5,,,,,,4,,,,,,,,,,,,6,,,,,,場所と名前を正確に覚えるために脳のリソースをかなり使ってしまったので、生活で使う上では利便性は高くないと感じました。
2025/06/27 18:54:36,P14,2,4,1,4,2,5,1,3,2,4,2,,,,,,,5,,,,,,1,,,,,,,,,,,,2,,,,,,
2025/06/27 19:07:06,P14,3,4,2,4,1,4,1,4,2,5,4,,,,,,,1,,,,,,1,,,,,,,,,,,,3,,,,,,
2025/06/27 19:27:45,P14,4,2,3,2,2,3,1,1,4,1,2,,,,,,,4,,,,,,3,,,,,,,,,,,,4,,,,,,
2025/06/27 19:54:51,P14,1,2,3,2,4,3,1,2,4,2,4,,,,,,,4,,,,,,4,,,,,,,,,,,,6,,,,,,
2025/06/27 20:18:01,P15,3,4,2,4,2,4,2,4,2,4,2,,,,,,,4,,,,,,1,,,,,,,,,,,,7,,,,,,
2025/06/27 20:33:17,P15,4,3,3,3,2,3,2,3,3,3,3,,,,,,,4,,,,,,2,,,,,,,,,,,,7,,,,,,
2025/06/27 21:06:50,P15,1,2,4,2,3,2,4,2,4,1,3,,,,,,,3,,,,,,3,,,,,,,,,,,,7,,,,,,
2025/06/27 21:17:21,P15,2,4,2,4,2,4,2,4,2,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,7,,,,,,
2025/06/28 18:08:11,P16,4,2,5,1,2,2,4,1,5,1,5,,,,,,,5,,,,,,2,,,,,,,,,,,,1,,,,,,名前覚えられたら楽
2025/06/28 18:36:13,P16,1,4,2,4,4,5,4,4,2,2,4,,,,,,,1,,,,,,4,,,,,,,,,,,,8,,,,,,視界の中心をあの電気って言いたい
2025/06/28 18:52:04,P16,2,4,2,4,4,5,1,4,2,5,4,,,,,,,5,,,,,,2,,,,,,,,,,,,3,,,,,,
2025/06/28 19:02:53,P16,3,2,4,2,4,2,1,4,5,5,4,,,,,,,5,,,,,,1,,,,,,,,,,,,8,,,,,,
2025/06/28 19:54:08,P17,1,1,1,2,1,2,1,4,2,2,1,,,,,,,1,,,,,,4,,,,,,,,,,,,0,,,,,,
2025/06/28 20:08:16,P17,2,4,1,4,1,4,1,4,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,0,,,,,,
2025/06/28 20:20:52,P17,3,3,1,5,1,4,2,5,3,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,6,,,,,,
2025/06/28 20:47:28,P17,4,1,1,1,1,4,1,2,4,4,1,,,,,,,5,,,,,,1,,,,,,,,,,,,2,,,,,,
2025/06/30 14:42:05,P18,2,3,2,4,4,4,2,3,2,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,4,,,,,,最初の条件だったので特に比較はできませんでした
2025/06/30 15:07:09,P18,3,3,2,4,2,4,2,3,2,4,3,,,,,,,4,,,,,,2,,,,,,,,,,,,4,,,,,,pointing + spatial条件のほうが使いやすかったです。「右から・・・」みたいな指示ができると便利だと思いました
2025/06/30 15:42:27,P18,4,1,3,1,2,2,5,1,5,2,2,,,,,,,4,,,,,,4,,,,,,,,,,,,6,,,,,,音声認識は声が枯れるから、何度も指示を出すのが大変でした
2025/06/30 16:17:39,P18,1,3,4,3,2,3,2,3,3,2,2,,,,,,,4,,,,,,4,,,,,,,,,,,,6,,,,,,マシンが理解してくれる説明の仕方をこちらがマスターすれば使いやすくなると思いました
2025/06/30 17:32:52,P19,3,2,2,3,2,2,1,3,3,3,2,,,,,,,5,,,,,,2,,,,,,,,,,,,8,,,,,,同じ色の点灯だったため、操作でミスしない自信があった。答えの照明の点灯している色がわかりづらかった。
2025/06/30 18:00:07,P19,4,2,5,1,4,2,3,1,4,2,4,,,,,,,4,,,,,,4,,,,,,,,,,,,5,,,,,,場所を覚えていればミスが少なくできると感じ、慣れれば使いやすくなると感じた。名前を覚えるのは大変だが、使っていくうちに場所を覚えて記憶するストレスがだんだん減ってきたように感じた。タスクが終わるごとに場所の名前を少し見せてくれると場所の記憶の定着が早くなるのではと思った。
2025/06/30 18:28:54,P19,1,4,2,3,4,3,3,3,3,2,2,,,,,,,4,,,,,,4,,,,,,,,,,,,2,,,,,,言葉の伝え方にコツがあるのが少し難しく感じたが、スムーズに進めることができたと感じた。AIに言葉で伝えるのに自分で考えながら行い、できたときに達成感を感じた。またシステムに意思を伝える過程で親近感を少し感じた。
2025/06/30 18:42:56,P19,2,5,1,5,2,5,2,4,2,5,2,,,,,,,5,,,,,,2,,,,,,,,,,,,3,,,,,,指定された照明の色のみが変わる保証があり、安心してシステムを使用することができた。
2025/07/01 11:53:01,P20,4,3,2,4,4,4,1,4,2,3,1,,,,,,,5,,,,,,1,,,,,,,,,,,,6,,,,,,
2025/07/01 12:23:33,P20,1,2,1,3,2,5,1,4,1,2,1,,,,,,,4,,,,,,2,,,,,,,,,,,,1,,,,,,
2025/07/01 12:33:30,P20,2,5,1,5,1,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,1,,,,,,
2025/07/01 12:42:14,P20,3,5,1,5,1,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,1,,,,,,
2025/07/01 15:43:19,P21,1,4,1,4,3,5,2,5,1,3,2,,,,,,,4,,,,,,2,,,,,,,,,,,,4,,,,,,「中心にある電気をつけて」という命令に対して、あまり中心にないものがついていた
2025/07/01 16:20:02,P21,2,3,4,2,4,3,3,2,3,2,1,,,,,,,3,,,,,,2,,,,,,,,,,,,2,,,,,,
2025/07/01 16:33:58,P21,3,2,1,3,2,3,2,4,2,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,7,,,,,,１個１個選択している分確実性があるように感じました
2025/07/01 16:51:10,P21,4,2,2,2,1,2,2,2,4,2,5,,,,,,,3,,,,,,2,,,,,,,,,,,,7,,,,,,名前を覚えるのが大変でした
2025/07/02 14:19:47,P22,2,3,3,2,4,3,2,4,3,3,4,,,,,,,4,,,,,,3,,,,,,,,,,,,6,,,,,,対象の選択の信頼性はたかいが、いちいち選択するのは面倒だった。
2025/07/02 14:34:04,P22,3,4,3,5,2,3,2,5,4,4,2,,,,,,,5,,,,,,2,,,,,,,,,,,,8,,,,,,"いちいち操作するのは面倒だが正しく動くだろうという信頼はあった
体が疲れた。"
2025/07/02 15:01:39,P22,4,1,5,2,2,2,2,1,5,2,5,,,,,,,4,,,,,,3,,,,,,,,,,,,6,,,,,,覚えられません
2025/07/02 15:31:25,P22,1,4,2,5,3,4,4,4,2,3,2,,,,,,,3,,,,,,3,,,,,,,,,,,,2,,,,,,よい指示を考えるのが難しかった。
2025/07/03 11:33:02,P23,3,4,1,2,2,2,2,5,3,4,1,,,,,,,5,,,,,,1,,,,,,,,,,,,8,,,,,,
2025/07/03 11:59:18,P23,4,2,3,2,3,2,4,2,4,1,4,,,,,,,4,,,,,,4,,,,,,,,,,,,3,,,,,,
2025/07/03 12:32:18,P23,1,2,4,2,4,3,4,1,4,3,3,,,,,,,1,,,,,,5,,,,,,,,,,,,7,,,,,,
2025/07/03 12:44:24,P23,2,5,1,5,2,5,2,5,2,5,2,,,,,,,4,,,,,,2,,,,,,,,,,,,5,,,,,,
2025/07/03 16:03:56,P24,4,2,2,4,2,3,2,3,2,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,4,,,,,,ラベル付けされているので暗記できていれば操作はしやすいと思う。暗記するのが大変、数が増えれば増えるど。また順番で混乱してしまった。数字じゃなくて方角とかにも対応したラベル付けだと操作性があがるかも。同じデバイスに複数のラベルがついているといいかもしれない。
2025/07/03 16:35:12,P24,1,2,4,2,4,3,4,2,4,2,3,,,,,,,2,,,,,,3,,,,,,,,,,,,7,,,,,,複数のライトを一気につけることができたときは気持ちよく感じる。一方で意図したとおりにライトをつけることができなかったときにはわずらわしさを感じる。操作性とシステムと同様に。
2025/07/03 16:50:29,P24,2,4,2,4,2,4,2,4,2,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,2,,,,,,点けたい電球を指定しやすくて動作が意図したとおりに行われた。操作しやすかった。まとめて複数のライトを複雑な操作も同時に行うことができる。範囲選択は視界の中で描く必要があるため創造よりも上にうでを挙げて操作する必要があった
2025/07/03 17:01:58,P24,3,4,2,5,2,3,2,5,2,4,2,,,,,,,5,,,,,,2,,,,,,,,,,,,3,,,,,,操作が単純なため指示出しが早くできた。特に考える必要もなく電球をつけることができてよかった。
