タイムスタンプ,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）","  Using this interaction method improved my task performance.
（この操作方法を使うことで、タスクの効率が向上したと感じましたか？）","  I intend to use this interaction method in the future.
（今後もこの操作方法を使いたいと思いますか？）","  I found this interaction method to be smooth and easy to execute.
（この操作方法はスムーズに実行できましたか？）","  The behavior of this interaction method was consistent.
（この操作方法の動作は一貫していましたか？）","  This interaction method performed as I intended.
（この操作方法は意図したとおりに動作しましたか？）","  I felt that this interaction method was trustworthy.
（この操作方法は信頼できると感じましたか？）","  I was confident that this interaction method would work correctly.
（この操作方法を使用する際、システムが適切に動作すると確信していましたか？）","   I felt that this system was trustworthy.
（このシステムは信頼できると感じました。）","  I was confident that this system would function correctly.
（このシステムが適切に動作すると確信していました。）","  The system was reliable in its responses.
（このシステムの応答は信頼できるものでした。）  ","  The system behaved in a consistent manner.
（このシステムの挙動は一貫していました。）  ","  I can trust this system to operate as expected.
（このシステムは予想通りに動作すると信頼できます。）  ","  The system’s actions were easy to understand.
（このシステムの動作は理解しやすかった。）  ","   I was able to predict how the system would respond to my actions.
（このシステムがどのように反応するか予測できました。）  ","  The system provided clear feedback about its actions.
（このシステムは、自分の動作について明確なフィードバックを提供しました。）  ","  The system behaved in an underhanded manner.
（このシステムは不誠実な動作をしたと感じました。）  ","  The system’s actions could lead to harmful or unintended consequences.
（このシステムの動作は、望ましくない結果や危険を引き起こす可能性があると感じました。）  ","  The system provides a sense of security and integrity.
（このシステムは安全性と誠実性を提供すると感じました。）  ","How mentally demanding was the task?
（このタスクはどの程度、精神的に負担を感じましたか？）","How physically demanding was the task?
（このタスクはどの程度、身体的に負担を感じましたか？）","How hurried or rushed did you feel during the task?
（このタスクを行う際、急かされていると感じましたか？）","How successful do you think you were in accomplishing the task?
（このタスクを成功させることができたと感じましたか？）","How much effort did you need to put into completing the task?
（このタスクを完了するために、どれくらいの努力が必要でしたか？）","How frustrated or irritated did you feel during the task?
（このタスクを行う際、イライラやストレスを感じましたか？）","How burdensome did you find gaze movement or searching during the task?
（このタスクの間、視線の移動や検索はどの程度負担になりましたか？）","To what extent did you need to adjust your body position or posture to complete the task?
（このタスクを完了するために、どの程度、体の向きを変更する必要がありましたか？）","How much burden did you feel from moving or repositioning yourself during the task?
（このタスクの間、移動や再配置による負担をどの程度感じましたか？）",ID,Condition,Free Description (自由記述),年齢（Age）,性別（Gender）,  Do you own a smart speaker?  （スマートスピーカーを所有していますか？）,"If yes, which type?(所有している場合は、機種を)",How have you operated smart home devices? (スマート家電の操作方法として使ったことがあるもの),Do you regularly use smart home devices?　(スマート家電を日常的に使っていますか？),列 40
2025/06/13 21:12:27,4,2,4,2,5,2,4,2,4,2,6,5,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,6,3,7,3,3,6,6,6,P1_OLD,1,Pointing+空間参照,,,,,,,
2025/06/13 21:27:12,3,2,2,2,3,2,2,3,2,4,3,3,3,4,3,4,2,3,2,3,4,2,3,2,3,2,2,3,6,6,6,4,7,6,6,6,6,P1_OLD,2,ラベル,,,,,,,
2025/06/17 14:10:57,4,3,2,2,4,2,2,2,4,2,5,5,3,4,3,4,3,4,3,2,3,4,4,2,4,2,4,4,6,2,1,3,8,3,8,7,7,P2_OLD,2,,,,,,,,
2025/06/17 14:29:43,3,3,4,4,4,2,2,3,4,3,5,4,5,4,2,3,3,4,3,4,4,4,3,4,4,4,3,3,7,4,4,6,7,4,8,7,4,P2_OLD,1,音声のみでは明らかにできそうなタスクとできなそうなタスクの差があった,,,,,,,
2025/06/17 14:41:46,4,1,5,4,2,1,2,2,4,5,6,5,5,4,4,5,4,4,4,3,5,3,4,4,4,2,2,4,7,3,4,4,9,1,3,3,5,P2_OLD,4,,,,,,,,
2025/06/17 14:58:18,4,2,4,2,4,2,4,2,5,3,4,4,5,5,5,4,4,4,4,5,4,4,4,4,5,2,2,4,2,8,3,8,4,4,8,8,4,P2_OLD,3,数が多い場合は苦労すると感じた。その場合LLMの要求が使いやすいと感じた,,,,,,,
2025/06/17 15:59:00,3,2,2,1,4,2,2,4,2,1,2,3,2,3,3,3,2,3,2,3,4,2,3,3,3,2,2,4,3,3,2,7,3,6,3,2,2,P3_OLD,4,覚えるのが大変でした,,,,,,,
2025/06/17 16:14:22,3,1,5,1,3,2,4,2,4,1,5,4,7,4,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,10,1,10,7,3,10,10,9,P3_OLD,2,体を動かすのが大変,,,,,,,
2025/06/17 16:22:38,4,2,5,1,3,1,5,2,5,1,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,10,1,10,8,3,10,10,10,P3_OLD,3,,,,,,,,
2025/06/17 16:42:26,3,2,2,1,4,2,3,2,2,2,5,6,5,4,2,3,3,3,3,3,3,3,5,3,3,2,2,5,0,0,0,7,2,2,2,2,2,P3_OLD,1,,,,,,,,
2025/06/17 17:43:58,4,1,4,4,4,2,4,1,4,2,5,6,6,4,4,4,4,4,4,4,4,4,5,5,4,1,3,3,2,1,2,8,6,1,2,9,2,P4_OLD,3,複数個のオブジェクトを指定するときに一回ずつやらなくてはいけないのが面倒だった,,,,,,,
2025/06/17 18:00:36,4,3,3,2,4,2,3,3,4,5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,2,2,2,9,6,7,7,10,9,6,7,6,P4_OLD,4,覚えるのたいへんだった,,,,,,,
2025/06/17 18:55:46,4,2,3,3,4,3,1,2,3,4,6,5,5,4,3,3,3,4,3,4,4,3,4,4,4,2,4,2,9,8,6,5,9,8,7,9,7,P4_OLD,1,,,,,,,,
2025/06/17 19:07:45,4,2,5,2,5,4,5,1,5,2,6,7,7,4,5,5,5,5,4,4,4,5,5,5,5,1,4,4,1,2,1,2,2,2,4,5,2,P4_OLD,2,,,,,,,,
2025/06/18 16:17:14,3,4,2,5,4,3,2,4,4,4,5,3,3,4,3,2,2,3,2,3,3,3,4,3,4,3,5,3,6,7,2,8,8,3,6,9,7,P5_OLD,1,明かりをつける対象が1つの時は、視界の真ん中に収めればタスクを完了することができたため簡単に感じたが、複数ライトを複数色で付ける場合は指示を考えるのが比較的難しかった。,,,,,,,
2025/06/18 16:36:14,5,1,5,2,4,1,5,1,5,2,6,7,7,5,5,5,4,4,5,4,5,5,5,4,5,2,2,5,1,3,0,10,1,1,5,6,5,P5_OLD,3,どのライトが選択されるか、読み込むまで確信がない空間参照とちがって、自分で選択してから点けるため操作もわかりやすくてストレスも少なく感じたが、ライトを選択する際に必ず視界に入れなければならないため、背後の電気をつける場合などは空間参照のほうが楽な姿勢で指示を出せるように感じた。,,,,,,,
2025/06/18 16:50:13,5,1,1,1,5,2,5,1,5,1,7,7,7,5,5,5,5,5,4,5,5,5,5,4,5,1,1,5,0,2,0,10,1,1,2,5,5,P5_OLD,1,ライトを視界に収めて指定しなければならないという点はポインティングのみの場合と同様だが、色の異なる場合に二回に分けて指示を出さなくてもいい分、使い勝手がよくなっているように感じた。また、これはポインティングのみにも空間参照のみにも言えることだが、障害物があると指定が少々難しく感じた。,,,,,,,
2025/06/18 17:14:22,4,3,4,1,5,1,4,1,3,2,6,6,5,5,5,5,5,5,4,5,5,5,5,5,5,1,2,5,2,1,0,9,6,2,2,3,2,P5_OLD,4,1分間でライトの名前を覚えるのは負担に感じたが、一度覚えてしまえばかなり使いやすいシステムであるように感じた。将来的に自宅で使うようなシチュエーションを考えた場合は、ライトの名前が定着している可能性が高く使いやすい結果になるのではないかと考えた。姿勢に関しては楽だったが、どのライトがつくかを視線で決定できる方が、どれがつくか直感的でありわかりやすいようにも感じた。,,,,,,,
2025/06/18 18:05:09,4,2,4,4,5,2,4,2,4,5,6,5,5,5,5,5,4,4,4,4,4,4,5,4,5,2,2,4,3,3,0,8,6,3,4,8,8,P6_OLD,2,デスクの右側に隠れているライトは少し選択しづらかった。後ろのライトも選択しづらかった。範囲指定はとても良かった。,,,,,,,
2025/06/18 18:32:15,1,4,1,2,2,2,1,5,1,5,2,1,1,2,2,3,4,3,2,3,2,2,2,3,3,4,4,2,10,2,10,1,9,10,3,2,10,P6_OLD,4,覚えるのが面倒だし難しい。毎回番号と種類を思い出さないといけないのが面倒。,,,,,,,
2025/06/18 18:58:13,2,3,2,2,2,4,2,4,1,1,2,2,3,1,2,2,1,1,1,2,2,2,4,2,3,4,4,2,8,7,4,1,6,10,8,8,8,P6_OLD,1,視界にライトを入れようとすると、首がつかれる。言語化能力に依存する。指示通りに動くと気持ちいい。,,,,,,,
2025/06/18 19:08:47,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,6,0,10,0,1,6,7,6,P6_OLD,3,範囲指定がとても良い。「選択」と「指示」が分離されているので、「指示」が楽。,,,,,,,
2025/06/20 19:39:03,2,1,4,1,5,1,5,2,2,1,5,5,5,5,5,2,4,2,2,5,5,2,5,5,5,1,4,5,7,7,0,10,3,0,6,9,7,P1,1,言葉だけで指定するのは、複数選択するときに難しい。このパターンだと、言語で指定すのをすごく不便に感じた。今回のタスクのように、複数のライト、色を様々なパターンで点灯するのは、個別の名称がないと難しいだろう。,,,,,,,
2025/06/20 19:53:22,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,0,0,0,10,0,P1,2,すごく使いやすかった。基本的に色だけ話せばいいから。,,,,,,,
2025/06/20 20:09:49,4,4,5,1,5,1,5,2,5,1,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,3,3,3,10,0,P1,3, 指定できないよりは便利だった。しかし、色を同時に指定できないのは不便だ。,,,,,,,
2025/06/20 20:27:16,4,1,5,1,5,1,3,2,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,6,0,0,10,7,0,0,3,0,P1,4,ライトの数が多い今回の環境では、名称をすべて覚える必要があり、難しい操作方法だ。しかし、ライトが少ない環境なら、とても便利で使いやすいと感じた。,,,,,,,
2025/06/23 17:31:51,4,2,4,3,4,1,4,3,4,4,6,5,5,3,4,4,4,4,4,4,4,4,4,4,4,1,4,3,2,3,1,8,6,3,9,9,9,P2,2,,,,,,,,
2025/06/23 17:47:08,3,2,4,2,4,2,5,3,4,3,4,5,4,5,5,5,5,4,4,4,4,5,5,5,5,1,2,2,9,9,7,9,9,9,9,9,8,P2,3,,,,,,,,
2025/06/23 18:06:02,4,2,4,4,4,4,4,1,5,5,5,5,6,4,4,4,4,5,4,4,5,4,5,5,4,1,1,5,8,7,1,9,9,7,1,1,1,P2,4,,,,,,,,
2025/06/23 18:27:19,4,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,4,4,4,4,4,5,5,5,1,1,1,3,2,2,9,5,1,10,10,9,P2,1,,,,,,,,
2025/06/23 19:49:09,3,2,5,3,5,1,5,1,5,2,6,5,6,5,5,5,4,4,4,5,5,4,5,4,5,1,2,3,2,4,0,9,6,0,7,8,5,P3,3,,,,,,,,
2025/06/23 20:10:22,3,2,4,2,5,1,4,1,3,2,5,5,5,5,5,5,4,4,4,5,5,4,5,4,5,1,2,4,2,3,0,7,9,0,6,8,2,P3,4,,,,,,,,
2025/06/23 21:09:54,4,1,4,4,5,2,4,2,2,3,3,5,5,4,4,3,4,3,4,4,4,4,5,3,5,1,3,3,3,2,0,3,7,0,1,2,0,P3,1,ラベルを知っているとラベルで指示したくなる傾向にありました,,,,,,,
2025/06/23 21:42:23,4,1,5,1,5,1,5,1,4,1,6,5,6,5,5,4,4,4,4,5,5,4,5,4,5,1,2,2,1,1,0,8,4,0,1,2,0,P3,2,方向の指示ができない場合と比べてどのように指示したらよいかが即時に判断できました。,,,,,,,
